Dia - Mes,Temperatura media,Fecha Momento minima,Temperatura minima,Fecha Momento maxima,Temperatura maxima
190629,14.1,100629,6.1,930629,19.6
190630,13.9,.,8.2,.,19.4
190701,14.0,960701,8.3,050701,19.7
190702,13.9,960702,7.3,060702,20.4
190703,14.0,960702,8.5,060703,21.4
190704,14.2,990704,8.1,970704,21.1
190705,14.1,990705,7.8,970705,21.7
190706,14.1,120706,7.5,060706,22.7
190707,14.1,940707,6.7,970707,20.0
190708,14.0,940708,8.8,160708,20.8
190709,14.0,960709,8.8,160709,19.8
190710,13.9,000710,8.2,970710,21.4
190711,13.9,000711,7.5,970711,22.6
190712,13.9,000712,7.1,970712,20.0
190713,13.8,000713,8.6,060713,19.9
190714,13.8,990714,8.7,060714,20.4
190715,13.8,920715,8.2,910715,19.5
190716,13.6,090716,7.9,030716,18.9
190717,13.6,050717,7.5,970717,19.6
190718,13.5,.,5.9,060718,20.4
190719,13.7,100719,6.8,060719,20.5
190720,13.9,100720,6.0,060720,20.5
190721,13.9,050721,7.4,010721,20.3
190722,13.8,050722,6.6,020722,19.6
190723,13.6,050723,6.3,910723,19.8
190724,13.6,140724,7.0,970724,19.5
190725,13.6,090725,7.8,970725,19.8
190726,13.7,090726,8.5,970726,19.8
190727,13.7,960727,8.1,970727,20.1
190728,13.6,030728,7.1,970728,20.8
190729,13.6,030729,8.0,970729,20.7
190730,13.8,.,9.2,970730,19.8
190731,13.8,100730,8.7,970731,19.6
190801,13.6,940801,7.0,970801,20.1
190802,13.6,940802,8.3,970802,20.0
190803,13.8,040803,8.3,930803,20.0
190804,13.9,950804,8.6,970804,19.7
190805,13.9,910805,8.6,970805,19.9
190806,14.1,070806,8.9,970806,20.2
190807,13.9,910807,9.4,970807,19.6
190808,14.1,940808,9.2,990808,20.9
190809,13.9,940809,7.8,970809,22.2
190810,14.0,090810,9.7,970810,25.3
190811,14.1,910811,8.2,970811,27.0
190812,14.0,950812,8.4,970812,20.7
190813,14.0,950813,9.7,190813,20.3
190814,14.0,980814,7.0,970814,21.2
190815,13.9,980815,8.3,970815,19.7
190816,14.2,920816,8.8,970816,22.7
190817,14.0,030817,9.3,970817,23.2
190818,14.0,040818,8.0,970818,20.6
190819,14.0,930819,7.8,970819,19.3
190820,13.9,900820,10.2,970820,19.2
190821,14.0,990821,9.5,170821,19.7
190822,14.1,920822,8.9,170822,20.2
190823,14.0,090823,9.2,960823,19.5
190824,14.1,030824,8.4,970824,20.5
190825,14.2,980825,9.0,040825,20.5
190826,14.1,980826,7.3,020826,26.3
190827,14.4,070827,8.5,150827,21.9
190828,14.3,070828,9.3,130828,21.1
190829,14.5,070829,10.4,010829,21.6
190830,14.5,980830,8.9,040830,20.5
190831,14.4,050831,8.1,110831,20.6
190901,14.3,050901,8.3,110901,19.9
190902,14.4,940902,8.6,990902,20.2
190903,14.4,100903,9.0,180903,20.1
190904,14.4,070904,8.8,180904,20.8
190905,14.4,080905,9.5,970905,21.8
190906,14.5,080906,8.5,970906,20.2
190907,14.5,980907,8.4,940907,20.4
190908,14.6,980908,7.5,940908,21.7
190909,14.5,030909,9.3,130909,24.0
190910,14.5,030910,7.1,060910,19.5
190911,14.4,980911,9.9,150911,19.5
190912,14.5,140912,10.0,040912,20.6
190913,14.5,010913,8.6,110913,21.1
190914,14.4,170914,9.0,150914,20.8
190915,14.5,050915,9.6,150915,21.0
190916,14.5,050916,9.6,960916,21.2
190917,14.6,100917,9.5,970917,25.0
190918,14.6,100918,9.8,970918,24.2
190919,14.6,120919,10.1,970919,20.4
190920,14.7,130920,9.0,150920,20.5
190921,14.9,120921,11.0,.,21.1
190922,14.9,990922,10.0,000922,21.1
190923,14.9,070923,10.3,940923,20.4
190924,14.9,070924,11.1,020924,20.9
190925,14.8,050925,9.3,150925,20.8
190926,15.0,040926,10.9,970926,22.1
190927,15.1,070927,11.3,940927,21.2
190928,15.1,090927,11.8,100928,20.0
190929,15.0,900929,9.5,150929,21.0
190930,15.3,010930,9.9,970930,20.3
191001,15.0,991001,11.0,971001,22.0
191002,15.0,171002,10.9,961002,20.7
191003,15.2,071003,10.2,111003,20.6
191004,15.2,101004,9.9,171004,21.1
191005,15.2,971005,12.2,941005,23.6
191006,15.4,911006,11.1,161006,22.1
191007,15.3,901007,10.6,941007,21.0
191008,15.3,901008,9.4,011008,21.1
191009,15.4,901009,10.7,011009,20.7
191010,15.4,901010,9.2,941010,21.3
191011,15.3,951011,10.3,941011,20.3
191012,15.4,911012,11.0,971012,24.1
191013,15.6,961013,10.0,971013,25.7
191014,15.6,101014,10.3,031014,22.9
191015,15.6,111014,11.1,031015,20.8
191016,15.4,181016,10.6,141016,21.1
191017,15.5,111017,10.6,141017,21.1
191018,15.6,.,10.4,151018,21.7
191019,15.6,901019,11.2,971019,20.8
191020,15.8,111020,12.1,911020,21.1
191021,15.7,901021,11.1,031021,21.3
191022,16.0,121022,11.9,991022,21.4
191023,15.8,071023,10.9,011023,21.0
191024,15.9,001024,10.9,971024,20.1
191025,15.9,981025,12.0,141025,21.4
191026,16.1,171026,12.8,931026,22.8
191027,16.1,901027,12.6,161027,20.5
191028,16.2,111028,12.1,961028,21.2
191029,16.3,001029,12.2,091029,22.4
191030,16.3,071030,10.8,091030,22.3
191031,16.3,941031,11.4,991031,22.6
191101,16.4,931101,12.0,091101,23.6
191102,16.4,001102,10.8,941102,23.4
191103,16.5,011103,11.8,941103,21.7
191104,16.5,991104,12.7,161104,22.5
191105,16.5,071105,11.0,921105,21.1
191106,16.6,981106,13.1,981106,20.8
191107,16.7,071107,12.9,931107,22.6
191108,16.8,021108,12.8,971108,21.5
191109,16.8,111109,13.8,971109,21.3
191110,16.8,991110,13.4,971110,22.4
191111,16.9,021111,11.1,921111,22.9
191112,16.9,001112,12.0,081112,21.6
191113,17.0,041113,12.7,081113,21.9
191114,16.9,131114,12.2,081114,21.1
191115,17.1,911115,11.7,081115,21.4
191116,17.0,001116,11.4,971116,21.6
191117,17.0,001117,11.0,131117,21.4
191118,17.2,091118,12.3,921118,24.5
191119,17.3,941119,13.0,191119,22.8
191120,17.4,131120,13.4,961120,22.5
191121,17.3,011121,12.0,191121,22.5
191122,17.6,991122,12.8,191122,23.1
191123,17.7,961123,14.4,951123,21.9
191124,17.6,101124,12.8,971124,23.1
191125,17.7,931125,12.8,961125,23.5
191126,17.8,071126,12.8,031126,23.3
191127,17.6,011127,12.6,031127,22.6
191128,17.6,011128,12.9,031128,22.6
191129,17.8,011129,12.6,971129,22.9
191130,17.8,121130,13.4,971130,22.9
191201,17.7,071201,13.4,971201,22.4
191202,18.1,071202,13.8,971202,23.1
191203,18.1,991203,12.3,121203,23.9
191204,18.1,991204,13.3,131204,23.9
191205,18.0,991205,12.5,921205,23.5
191206,18.1,951206,13.9,911206,23.6
191207,18.1,051207,12.1,971207,23.7
191208,18.2,051208,12.7,971208,24.0
191209,18.2,071209,12.5,971209,25.1
191210,18.3,051210,13.0,971210,25.0
191211,18.1,071211,13.6,971211,24.4
191212,18.3,021212,13.3,971212,24.5
191213,18.6,901213,13.8,971213,25.1
191214,18.5,901214,13.0,041214,24.6
191215,18.6,071215,13.7,041215,25.2
191216,18.5,071216,12.8,971216,25.4
191217,18.8,071217,13.0,971217,25.4
191218,18.8,911218,14.0,011218,27.8
191219,18.8,981219,14.7,971219,24.7
191220,19.0,901220,13.7,001220,24.7
191221,18.9,951221,14.3,971221,25.3
191222,19.0,141222,13.8,971222,25.5
191223,19.0,951223,14.2,941223,25.0
191224,19.0,021224,13.2,971224,24.9
191225,19.2,141225,14.6,971225,25.6
191226,19.3,961226,14.0,971226,25.7
191227,19.4,121227,13.3,971227,25.6
191228,19.3,031228,14.2,971228,25.9
191229,19.4,121229,14.1,971229,25.5
191230,19.6,141230,14.3,961230,25.2
191231,19.7,021231,14.0,061231,26.3
200101,19.7,130101,14.9,070101,27.7
200102,19.6,030102,14.9,070102,25.0
200103,19.8,970103,15.0,980103,25.1
200104,19.7,930104,15.0,980104,25.5
200105,20.0,030105,14.8,170105,26.8
200106,20.1,940106,15.0,200106,27.5
200107,20.0,130107,14.6,980107,27.9
200108,20.1,130108,14.7,140108,27.2
200109,20.0,110109,14.9,140109,26.5
200110,20.0,960110,14.5,950110,25.9
200111,20.0,110111,15.0,050111,26.7
200112,20.0,950112,15.0,980112,26.0
200113,20.1,120113,15.1,950113,26.6
200114,20.2,990114,14.7,980114,26.1
200115,20.3,120115,15.0,980115,26.3
200116,20.4,120116,14.7,170116,26.8
200117,20.6,120117,15.3,980117,31.8
200118,20.5,990118,14.0,080118,27.4
200119,20.5,990119,14.7,170119,28.6
200120,20.5,110120,14.5,170120,27.7
200121,20.5,990121,14.7,170121,30.3
200122,20.4,960122,15.3,170122,28.3
200123,20.4,910123,15.5,170123,28.4
200124,20.5,020124,13.6,200124,28.3
200125,20.4,090125,15.3,170125,26.1
200126,20.4,020126,14.8,170126,29.3
200127,20.3,050127,15.3,170127,27.5
200128,20.5,070128,15.1,190128,27.2
200129,20.7,070129,14.7,030129,27.3
200130,20.6,970130,15.2,030130,28.2
200131,20.4,050131,13.8,160131,26.4
200201,20.5,050201,12.9,170201,27.0
200202,20.3,050202,12.9,170202,27.6
200203,20.3,050203,14.5,980203,26.0
200204,20.4,050204,14.0,980204,26.0
200205,20.4,970205,14.9,130205,26.0
200206,20.4,120206,14.7,130206,25.9
200207,20.3,050207,14.2,190207,25.6
200208,20.2,050208,14.5,130208,26.1
200209,20.2,000209,14.8,980209,26.8
200210,20.3,.,14.7,980210,26.7
200211,20.3,000211,15.1,120211,25.6
200212,20.1,960212,15.4,120212,27.5
200213,20.2,000213,15.0,010213,25.0
200214,20.2,050214,14.6,060214,26.8
200215,20.2,960215,14.7,060215,26.1
200216,20.3,960216,15.2,100216,25.6
200217,20.1,050217,14.9,010217,25.1
200218,20.2,000218,14.7,090218,25.7
200219,20.1,000219,14.9,150219,29.1
200220,20.1,130220,15.2,980220,25.6
200221,20.1,130221,14.3,980221,27.7
200222,20.0,910222,15.0,160222,28.0
200223,20.0,070223,14.9,170223,27.6
200224,20.0,120224,14.4,170224,27.0
200225,20.0,950225,14.4,170225,27.0
200226,20.0,080226,14.5,170226,27.6
200227,20.0,080227,14.1,170227,27.1
200228,19.9,950228,13.8,170228,25.8
200229,19.3,960229,14.9,160229,24.7
200301,19.6,950301,14.4,980301,25.2
200302,19.6,000302,14.4,970302,26.2
200303,19.7,000303,13.5,.,30.6
200304,19.8,000304,13.6,970304,27.9
200305,19.7,140305,14.0,970305,26.2
200306,19.7,070306,14.9,050306,25.4
200307,19.7,090307,14.7,010307,25.9
200308,19.6,070308,14.6,080308,24.8
200309,19.5,100309,14.7,000309,25.6
200310,19.5,070310,14.5,140310,24.6
200311,19.4,070311,15.0,920311,25.4
200312,19.5,080312,14.4,150312,25.6
200313,19.4,080313,13.9,990313,25.8
200314,19.2,080314,14.0,020314,25.0
200315,19.2,040315,13.5,980315,27.3
200316,19.2,050316,13.7,980316,25.4
200317,19.1,040317,13.4,920317,25.1
200318,19.1,940318,14.4,090318,24.8
200319,19.1,130319,13.5,920319,24.5
200320,18.9,080320,13.9,920320,24.9
200321,19.0,130321,13.9,150321,26.0
200322,18.7,180322,13.3,150322,24.1
200323,18.7,910323,13.0,150323,26.5
200324,18.8,000324,14.0,150324,26.6
200325,18.7,970325,13.6,920325,24.2
200326,18.6,060326,13.6,920326,28.3
200327,18.7,050327,13.2,920327,26.0
200328,18.4,060328,13.1,920328,24.4
200329,18.5,060329,13.4,000329,24.2
200330,18.4,070330,13.2,140330,26.1
200331,18.4,030331,13.0,100331,25.4
200401,18.5,130401,12.9,920401,23.9
200402,18.4,030402,12.9,200402,23.6
200403,18.2,030403,12.2,980403,23.6
200404,17.9,130404,11.9,980404,23.8
200405,17.9,030405,11.8,160405,23.6
200406,17.8,000406,12.3,920406,24.2
200407,17.8,000407,12.3,980407,24.8
200408,17.7,030408,10.0,980408,23.7
200409,17.7,000409,11.1,120409,27.7
200410,17.7,060410,11.5,120410,25.7
200411,17.5,060411,11.5,160411,23.3
200412,17.4,080412,10.9,000412,26.1
200413,17.6,050413,11.0,000413,28.3
200414,17.4,060414,11.4,000414,24.4
200415,17.3,130415,11.3,040415,22.6
200416,17.2,130416,11.1,150416,22.3
200417,17.2,130417,11.6,170417,22.6
200418,17.2,030418,11.5,930418,23.4
200419,17.1,030419,11.2,090419,23.6
200420,16.9,020420,11.4,120420,22.6
200421,16.7,080421,10.9,.,21.8
200422,16.8,000422,11.4,090422,22.8
200423,16.7,080423,11.2,060423,23.2
200424,17.0,130424,11.0,050424,24.7
200425,16.8,130425,11.3,050425,23.9
200426,16.3,910426,10.4,150426,21.4
200427,16.5,130427,10.9,930427,21.5
200428,16.3,960428,10.7,180428,23.7
200429,16.6,100429,10.6,970429,23.4
200430,16.4,010430,9.8,160430,22.5
200501,16.3,010501,9.6,100501,24.1
200502,16.2,010502,9.5,970502,22.1
200503,16.3,080503,8.7,970503,24.2
200504,16.4,080504,9.9,940504,23.3
200505,16.5,080505,11.2,010505,23.9
200506,16.4,000506,10.6,.,23.0
200507,16.4,120507,11.2,970507,26.7
200508,16.1,990508,10.6,970508,22.3
200509,16.0,070509,9.0,920509,21.9
200510,15.9,070510,7.9,170510,25.8
200511,16.0,010511,9.5,170511,25.0
200512,16.1,010512,8.6,170512,27.9
200513,16.1,070513,9.2,920513,22.5
200514,16.1,010514,9.3,000514,23.9
200515,15.7,930515,9.9,970515,22.3
200516,15.8,040516,9.1,970516,22.0
200517,15.7,040517,9.9,970517,21.2
200518,15.7,080518,9.2,970518,21.8
200519,15.8,070519,9.4,.,27.0
200520,15.7,000520,9.9,010520,22.4
200521,15.2,000521,9.5,970521,19.9
200522,15.2,000522,9.0,970522,22.2
200523,15.3,190523,9.5,970523,24.1
200524,15.3,040524,9.2,920524,21.3
200525,15.3,070525,9.4,020525,28.6
200526,15.3,040526,8.1,020526,25.7
200527,15.2,990527,9.0,920527,22.7
200528,15.1,080528,9.5,970528,22.6
200529,15.3,040529,8.2,200529,23.1
200530,15.2,070530,8.9,910530,22.3
200531,15.0,080531,8.3,970531,20.9
200601,14.8,090601,9.1,990601,20.5
200602,15.0,080602,9.1,160602,23.8
200603,14.9,080603,9.9,000603,22.0
200604,15.0,030604,9.5,970604,22.1
200605,14.8,040605,8.1,970605,20.7
200606,14.6,200605,9.5,920606,20.4
200607,14.7,040607,9.3,970607,21.0
200608,14.4,040608,7.7,970608,21.2
200609,14.3,140609,7.6,970609,21.3
200610,14.7,990610,8.8,970610,23.5
200611,14.7,140611,8.5,970611,20.7
200612,14.7,990612,8.9,970612,22.6
200613,14.6,060613,8.5,950613,20.8
200614,14.7,020614,7.9,.,21.4
200615,14.6,020615,8.7,950615,20.3
200616,14.6,190616,10.3,970616,21.4
200617,14.6,040617,8.8,970617,23.6
200618,14.6,020618,7.3,970618,21.3
200619,14.3,000619,7.4,970619,20.4
200620,14.4,000620,7.2,970620,21.9
200621,14.1,130621,8.2,150621,20.0
200622,14.3,130622,9.1,970622,20.2
200623,14.4,990623,8.7,000623,20.9
200624,14.1,060624,8.6,970624,20.4
200625,14.4,010625,7.5,930625,19.7
200626,14.4,130626,7.9,170626,22.2
200627,14.1,140627,7.4,980627,19.8
200628,14.3,960628,8.5,990628,20.3
200629,14.1,100629,6.1,930629,19.6
200630,13.9,.,8.2,.,19.4
200701,14.0,960701,8.3,050701,19.7
200702,13.9,960702,7.3,060702,20.4
200703,14.0,960702,8.5,060703,21.4
200704,14.2,990704,8.1,970704,21.1
200705,14.1,990705,7.8,970705,21.7
200706,14.1,120706,7.5,060706,22.7
200707,14.1,940707,6.7,970707,20.0
200708,14.0,940708,8.8,160708,20.8
200709,14.0,960709,8.8,160709,19.8
200710,14.0,000710,8.2,970710,21.4
200711,13.9,000711,7.5,970711,22.6
200712,13.9,000712,7.1,970712,20.0
200713,13.9,000713,8.6,060713,19.9
200714,13.8,990714,8.7,060714,20.4
200715,13.7,920715,8.2,910715,19.5
200716,13.6,090716,7.9,030716,18.9
200717,13.7,050717,7.5,970717,19.6
200718,13.5,.,5.9,060718,20.4
200719,13.7,100719,6.8,060719,20.5
200720,13.9,100720,6.0,060720,20.5
200721,14.0,050721,7.4,010721,20.3
200722,13.8,050722,6.6,020722,19.6
200723,13.6,050723,6.3,910723,19.8
200724,13.6,140724,7.0,970724,19.5
200725,13.6,090725,7.8,970725,19.8
200726,13.7,090726,8.5,970726,19.8
200727,13.7,960727,8.1,970727,20.1
200728,13.6,030728,7.1,970728,20.8
200729,13.6,030729,8.0,970729,20.7
200730,13.8,.,9.2,970730,19.8
200731,13.8,200731,8.3,970731,19.6
200801,13.6,940801,7.0,970801,20.1
200802,13.6,940802,8.3,970802,20.0
200803,13.8,040803,8.3,930803,20.0
200804,13.9,950804,8.6,970804,19.7
200805,13.9,910805,8.6,970805,19.9
200806,14.1,070806,8.9,970806,20.2
200807,14.0,910807,9.4,970807,19.6
200808,14.1,940808,9.2,990808,20.9
200809,13.9,940809,7.8,970809,22.2
200810,14.0,090810,9.7,970810,25.3
200811,14.1,910811,8.2,970811,27.0
200812,14.0,950812,8.4,970812,20.7
200813,14.0,950813,9.7,190813,20.3
200814,14.0,980814,7.0,970814,21.2
200815,13.9,980815,8.3,970815,19.7
200816,14.1,920816,8.8,970816,22.7
200817,14.0,030817,9.3,970817,23.2
200818,14.0,040818,8.0,970818,20.6
200819,13.9,930819,7.8,970819,19.3
200820,13.9,200820,8.6,970820,19.2
200821,13.9,990821,9.5,170821,19.7
200822,14.1,920822,8.9,170822,20.2
200823,14.0,090823,9.2,960823,19.5
200824,14.1,030824,8.4,970824,20.5
200825,14.2,980825,9.0,040825,20.5
200826,14.1,980826,7.3,020826,26.3
200827,14.4,070827,8.5,150827,21.9
200828,14.3,070828,9.3,130828,21.1
200829,14.4,070829,10.4,010829,21.6
200830,14.5,980830,8.9,040830,20.5
200831,14.4,050831,8.1,110831,20.6
200901,14.3,050901,8.3,110901,19.9
200902,14.4,940902,8.6,990902,20.2
200903,14.4,100903,9.0,180903,20.1
200904,14.4,070904,8.8,180904,20.8
200905,14.3,080905,9.5,970905,21.8
200906,14.5,080906,8.5,970906,20.2
200907,14.5,980907,8.4,940907,20.4
200908,14.5,980908,7.5,940908,21.7
200909,14.4,030909,9.3,130909,24.0
200910,14.4,030910,7.1,060910,19.5
200911,14.4,980911,9.9,150911,19.5
200912,14.5,140912,10.0,040912,20.6
200913,14.5,010913,8.6,110913,21.1
200914,14.4,170914,9.0,150914,20.8
200915,14.5,050915,9.6,150915,21.0
200916,14.5,050916,9.6,960916,21.2
200917,14.5,100917,9.5,970917,25.0
200918,14.6,100918,9.8,970918,24.2
200919,14.6,120919,10.1,970919,20.4
200920,14.7,130920,9.0,150920,20.5
200921,14.9,120921,11.0,.,21.1
200922,14.9,990922,10.0,000922,21.1
200923,14.9,070923,10.3,940923,20.4
200924,14.9,070924,11.1,020924,20.9
200925,14.8,050925,9.3,150925,20.8
200926,15.0,040926,10.9,970926,22.1
200927,15.1,070927,11.3,940927,21.2
200928,15.1,090927,11.8,100928,20.0
200929,15.1,980929,9.8,150929,21.0
200930,15.2,010930,9.9,970930,20.3
201001,15.0,991001,11.0,971001,22.0
201002,15.0,171002,10.9,961002,20.7
201003,15.1,071003,10.2,111003,20.6
201004,15.1,101004,9.9,171004,21.1
201005,15.1,971005,12.2,941005,23.6
201006,15.3,911006,11.1,161006,22.1
201007,15.3,011007,11.8,941007,21.0
201008,15.3,911008,10.4,011008,21.1
201009,15.4,971009,11.0,011009,20.7
201010,15.5,141010,11.6,941010,21.3
201011,15.4,951011,10.3,941011,20.3
201012,15.4,911012,11.0,971012,24.1
201013,15.6,961013,10.0,971013,25.7
201014,15.6,101014,10.3,031014,22.9
201015,15.6,111014,11.1,031015,20.8
201016,15.4,181016,10.6,141016,21.1
201017,15.4,111017,10.6,141017,21.1
201018,15.5,.,10.4,151018,21.7
201019,15.6,111018,11.3,971019,20.8
201020,15.8,111020,12.1,911020,21.1
201021,15.7,101021,11.7,031021,21.3
201022,15.9,121022,11.9,991022,21.4
201023,15.8,071023,10.9,011023,21.0
201024,15.9,001024,10.9,971024,20.1
201025,15.9,981025,12.0,141025,21.4
201026,16.1,171026,12.8,931026,22.8
201027,16.1,101027,12.8,161027,20.5
201028,16.2,111028,12.1,961028,21.2
201029,16.3,001029,12.2,091029,22.4
201030,16.3,071030,10.8,091030,22.3
201031,16.3,941031,11.4,991031,22.6
201101,16.3,931101,12.0,091101,23.6
201102,16.4,001102,10.8,941102,23.4
201103,16.5,011103,11.8,941103,21.7
201104,16.5,991104,12.7,161104,22.5
201105,16.5,071105,11.0,921105,21.1
201106,16.6,981106,13.1,981106,20.8
201107,16.7,071107,12.9,931107,22.6
201108,16.9,021108,12.8,971108,21.5
201109,16.8,111109,13.8,971109,21.3
201110,16.8,991110,13.4,971110,22.4
201111,16.9,021111,11.1,921111,22.9
201112,16.9,001112,12.0,081112,21.6
201113,17.0,041113,12.7,081113,21.9
201114,16.9,131114,12.2,081114,21.1
201115,17.1,911115,11.7,081115,21.4
201116,17.0,001116,11.4,971116,21.6
201117,17.0,001117,11.0,131117,21.4
201118,17.1,091118,12.3,921118,24.5
201119,17.3,941119,13.0,191119,22.8
201120,17.4,131120,13.4,961120,22.5
201121,17.3,011121,12.0,191121,22.5
201122,17.6,991122,12.8,191122,23.1
201123,17.7,961123,14.4,951123,21.9
201124,17.6,101124,12.8,971124,23.1
201125,17.6,931125,12.8,961125,23.5
201126,17.8,071126,12.8,031126,23.3
201127,17.6,011127,12.6,031127,22.6
201128,17.6,011128,12.9,031128,22.6
201129,17.7,011129,12.6,971129,22.9
201130,17.8,121130,13.4,971130,22.9
201201,17.7,071201,13.4,971201,22.4
201202,18.1,071202,13.8,971202,23.1
201203,18.1,991203,12.3,121203,23.9
201204,18.1,991204,13.3,131204,23.9
201205,18.0,991205,12.5,921205,23.5
201206,18.1,951206,13.9,911206,23.6
201207,18.0,051207,12.1,971207,23.7
201208,18.1,051208,12.7,971208,24.0
201209,18.2,071209,12.5,971209,25.1
201210,18.3,051210,13.0,971210,25.0
201211,18.1,071211,13.6,971211,24.4
201212,18.3,021212,13.3,971212,24.5
201213,18.6,961213,14.2,971213,25.1
201214,18.5,911214,13.3,041214,24.6
201215,18.6,071215,13.7,041215,25.2
201216,18.5,071216,12.8,971216,25.4
201217,18.8,071217,13.0,971217,25.4
201218,18.8,911218,14.0,011218,27.8
201219,18.8,981219,14.7,971219,24.7
201220,19.0,141220,14.5,001220,24.7
201221,18.9,951221,14.3,971221,25.3
201222,19.0,141222,13.8,971222,25.5
201223,19.0,951223,14.2,941223,25.0
201224,19.0,021224,13.2,971224,24.9
201225,19.2,141225,14.6,971225,25.6
201226,19.3,961226,14.0,971226,25.7
201227,19.4,121227,13.3,971227,25.6
201228,19.4,031228,14.2,971228,25.9
201229,19.4,121229,14.1,971229,25.5
